Episódio;Título;Convidado;YouTube;Arquivo PNG;Canva;Página
#91;Por que seu filho vive doente;Nathalia Vianna;https://youtu.be/9lgdH_iHy2c;#91 - Nathalia Vianna.png;https://www.canva.com/design/DAHT5ESs_-o/edit;6
#92;Seu filho não fala? O motivo;Mariana de Oliveira;https://youtu.be/OB-WmP_38Rg;#92 - Mariana de Oliveira.png;https://www.canva.com/design/DAHT5ESs_-o/edit;5
#93;Tudo sobre a escoliose;Pedro Paschoal;https://youtu.be/FKX6rR9FyTE;#93 - Pedro Paschoal.png;https://www.canva.com/design/DAHT5ESs_-o/edit;4
#94;Saúde mental da mulher;Juliana Neves;https://youtu.be/I3QOhZFNIRE;#94 - Juliana Neves.png;https://www.canva.com/design/DAHT5ESs_-o/edit;3
#95;Mitos sobre o câncer de mama;Marcela Nardi;https://youtu.be/d9BQAqCd1q0;#95 - Marcela Nardi.png;https://www.canva.com/design/DAHT5ESs_-o/edit;2
#96;A nova era da cirurgia plástica;Casal Plástica;https://youtu.be/UXcCV2QPW2Q;#96 - Casal Plástica.png;https://www.canva.com/design/DAHT5IrBs84/edit;6
#97;Ultrassom normal, sem gravidez?;Clariana Maurente;https://youtu.be/mA_BIqwURDY;#97 - Clariana Maurente.png;https://www.canva.com/design/DAHT5ESs_-o/edit;1
#98;Alopecia e a queda de cabelo;Graça Tavares;https://youtu.be/c86k7ixe7ss;#98 - Graça Tavares.png;https://www.canva.com/design/DAHT5G-VT0s/edit;25
#99;Tudo sobre a labirintite;Fernando Goslin;https://youtu.be/hjkEzz_WvoM;#99 - Fernando Goslin.png;https://www.canva.com/design/DAHT5G-VT0s/edit;24
#100;Como vencer o bruxismo;Andrea Melo;https://youtu.be/jgZBHQKEaew;#100 - Andrea Melo.png;https://www.canva.com/design/DAHT5G-VT0s/edit;23
#101;O erro no herpes-zóster;Murilo Drummond;https://youtu.be/r2Yuq0UQgGI;#101 - Murilo Drummond.png;https://www.canva.com/design/DAHT5G-VT0s/edit;22
#102;Infertilidade tem cura?;André Vaz;https://youtu.be/xO7ua54kssg;#102 - André Vaz.png;https://www.canva.com/design/DAHT5G-VT0s/edit;21
#103;A beleza da castidade;Mariana Francoti;https://youtu.be/JWDvPyVcXkg;#103 - Mariana Francoti.png;https://www.canva.com/design/DAHT5G-VT0s/edit;20
#104;Joanetes: mitos e verdades;José Carlos Cohen;https://youtu.be/ShkyQfp0v4c;#104 - José Carlos Cohen.png;https://www.canva.com/design/DAHT5G-VT0s/edit;19
#105;Endometriose tem cura?;Igor Chiminacio;https://youtu.be/YOb6D04NeSg;#105 - Igor Chiminacio.png;https://www.canva.com/design/DAHT5G-VT0s/edit;18
#106;A verdade sobre a hérnia de disco;Luiz Sola;https://youtu.be/94pu0-LhWGA;#106 - Luiz Sola.png;https://www.canva.com/design/DAHT5G-VT0s/edit;17
#107;Esclerose múltipla: como identificar;Marcos Alvarenga;https://youtu.be/W9bu8sclNAc;#107 - Marcos Alvarenga.png;https://www.canva.com/design/DAHT5G-VT0s/edit;16
#108;Rinoplastia com resultado natural;Leandro Ventura;https://youtu.be/2m5BV_F7he0;#108 - Leandro Ventura.png;https://www.canva.com/design/DAHT5G-VT0s/edit;15
#109;Intolerância à histamina;Sylvia Campos;https://youtu.be/xSttcCbgnl8;#109 - Sylvia Campos.png;https://www.canva.com/design/DAHT5IrBs84/edit;5
#110;Os segredos da alta performance;Andréia Batista;https://youtu.be/3Cgpdf8cpa8;#110 - Andréia Batista.png;https://www.canva.com/design/DAHT5IrBs84/edit;4
#111;Neuromielite óptica: a doença da visão;Regina Alvarenga;https://youtu.be/8yf04KMWdG0;#111 - Regina Alvarenga.png;https://www.canva.com/design/DAHT5G-VT0s/edit;14
#112;Sexualidade e namoro na adolescência;Samia Marsili;https://youtu.be/IYXrZpw6pKs;#112 - Samia Marsili.png;https://www.canva.com/design/DAHT5IrBs84/edit;3
#113;Lentes de contato estragam os dentes?;Gustavo Bastos;https://youtu.be/XcBu13PUU-w;#113 - Gustavo Bastos.png;https://www.canva.com/design/DAHT5G-VT0s/edit;13
#114;Quando o desconforto vira alerta;Patrícia Arias;https://youtu.be/9MSrqmtAfes;#114 - Patrícia Arias.png;https://www.canva.com/design/DAHT5G-VT0s/edit;12
#115;Fui expulso;Diego Falcão;https://youtu.be/jiKjpWaAeQw;#115 - Diego Falcão.png;https://www.canva.com/design/DAHT5LIwDx4/edit;16
#116;Jesus me chamou numa pista de atletismo;Padre Rodrigo Vieira;https://youtu.be/ckGxSqCbsrY;#116 - Padre Rodrigo Vieira.png;https://www.canva.com/design/DAHT5LIwDx4/edit;15
#117;De monja a expert;Ana Paula Perci;https://youtu.be/7cUHF2UtbXs;#117 - Ana Paula Perci.png;https://www.canva.com/design/DAHT5LIwDx4/edit;14
#118;Ele adotou 46 filhos com deficiência;Tânio Tavares;https://youtu.be/We3PNaqZGiM;#118 - Tânio Tavares.png;https://www.canva.com/design/DAHT5LIwDx4/edit;13
#119;Os erros que quase todos cometem na Missa;Padre Balbino;https://youtu.be/uoMijlGl3e8;#119 - Padre Balbino.png;https://www.canva.com/design/DAHT5LIwDx4/edit;12
#120;De funkeiro briguento a devoto de Cristo;Eduardo Badu;https://youtu.be/mqRpT62b11s;#120 - Eduardo Badu.png;https://www.canva.com/design/DAHT5LIwDx4/edit;11
#121;O frei que toca almas através da música;Frei Gilson;https://youtu.be/uVMNcNU_lMA;#121 - Frei Gilson.png;https://www.canva.com/d/uy_D_LWhgDVbFVw;1
#122;Sou infértil e vi que foi um plano de Deus;Bruna Gutstein;https://youtu.be/T7_vAZviZg8;#122 - Bruna Gutstein.png;https://www.canva.com/design/DAHT5LIwDx4/edit;10
#123;Verdades difíceis que todo pai deve ouvir;Diogo Wink, Thiago Andrade e José Roberto;https://youtu.be/BU3TzGp989E;#123 - Diogo Wink, Thiago Andrade e José Roberto.png;https://www.canva.com/d/uy_D_LWhgDVbFVw;6
#124;Não passe vergonha na Missa;Padre Balbino;https://youtu.be/mEgamDpoJ4w;#124 - Padre Balbino.png;https://www.canva.com/design/DAHT5LIwDx4/edit;9
