programa,num,titulo,convidado,status,link
Anima,147,Segredos do direito canônico e da vida pastoral,Pe.  Demétrio Gomes,,https://youtu.be/DvZdYF6fxIg
Anima,148,A fé transformou o luto em força até para perdoar,Ju Gava,,https://youtu.be/TfgcfInqBhA
Anima,149,Descobri a verdade na igreja Católica,Dr. Saulo Barbosa,,https://youtu.be/0r2w72v09bA
Anima,150,"Sexo, filhos e muito mais",Dra. Roberta Castro,,https://youtu.be/3IU7fB7BVlQ
Anima,151,Casas frias e vazias fazem parte de um plano,Rafa e Alex Brasileiro,,https://youtu.be/IfhrF2Km7q0
Anima,152,2ª virgindade? O que é isso?,Andrea Biselli,,https://youtu.be/4Hon4ZWVe7U
Anima,153,Os três níveis da liberdade,Maria Nazaré Lins Barbosa,,https://youtu.be/o0GmEWlirck
Anima,154,De menino pobre a sacerdote que atrai os jovens,Pe. Tony Moreira,,https://youtu.be/Zvtj-MppDI4
Anima,155,Canções que curam,Aline Brasil,,https://youtu.be/SR6hK-glRMY
Anima,156,Como se preparar bem para o casamento,André e Karina Parreira,,https://youtu.be/sfEqVOROzH4
Anima,157,O que não te contaram sobre finanças,Matheus Machado,,https://youtu.be/cFg7fO0oFHY
Anima,158,Católico pode ser supersticioso?,Flávio Andrade,,https://youtu.be/5GxfNVGbecg
Anima,159,Das redes de vôlei para as redes de pesca,Amábile Tereza Koester,,https://youtu.be/gDOiBDbxqQU
Anima,160,Meu pai morreu 3 vezes!,João Brother,,https://youtu.be/yEQIFbbu76Y
Anima,161,Querer é poder?,José Neto,,https://youtu.be/THWzAIX7JDo
Anima,162,A história que você não aprende na escola,Edmilson Cruz,,https://youtu.be/FxsWVO9Ev0I
Anima,163,O verdadeiro significado do natal,Rafael Brito,,https://youtu.be/JpV4Hbv6BBU
Anima,164,Retrospectiva 2024: Momentos marcantes da Anima!,"Kenya, Berthaldo, Diogo e Vanessa",,https://youtu.be/Kf5qRt_jKd0
Anima,165,"O segredo da liderança, carreira e família bem-sucedida",Eduardo Martins,,https://youtu.be/FEnlK0XVXi4
Anima,166,Ansiedade e fé,Mateus Simon,,https://youtu.be/dvSCpY09bvQ
Anima,167,A crise e a esperança,Pe. Leandro Rasera,,https://youtu.be/xINB0dCaQ1E
Anima,168,Oficina do Diabo,Brasil Paralelo ( Filipe Valerim e Henrique Viana ),,https://youtu.be/lwusZO3QioA
Anima,169,Especialista na Bíblia fala toda a verdade,João Cláudio Rufino,,https://youtu.be/cHNXQRDei2E
Anima,170,A Cidade Fundada Por Nossa Senhora,Pe. Leandro Rêgo,,https://youtu.be/jwX4_13gCoM
Anima,171,Amor que supera tudo,Camila e Felipe Oliveira,,https://youtu.be/VY3P7B7Zvzg
Anima,172,Comunicação que Transforma Vidas,Pe. Evandro Lima,,https://youtu.be/Xx9SeIM_ndk
Anima,173,A missão da Associação Guadalupe,Associação Guadalupe ( Mariangela Consoli),,https://youtu.be/P59pacYN4Ek
Anima,174,O Rosário que movimenta multidões,Instituto Hesed,,https://youtu.be/1ZJMDd2RdF8
Anima,175,Do leito da morte à praia no mesmo dia,Raquel Carpenter,,https://youtu.be/Jh5_3kro1n8
Anima,176,Desvendando os temperamentos,Ronaldo Amorim,,https://youtu.be/zZCATTT1_FQ
Anima,177,A fé é uma virtude da inteligência,Roberto Mallet,,https://youtu.be/siu-WZJP3bo
Anima,178,A judia que virou Santa!,Magna Rocha,,https://youtu.be/bdViCk6HWXs
Anima,179,Contra a inveja faça isso!,Irmã Zélia,,https://youtu.be/C9-mGhGrGz4
Anima,180,Eu era espírita mas isso me fez mudar,Dr. Rodrigo Astolfi,,https://youtu.be/uSYcqIXdxrA
Anima,181,Melhores momentos: Anjos,Rafael Brito,,https://youtu.be/2HnGh6PAVy0
Anima,182,Melhores Momentos:Musical,,,https://youtu.be/_XLN39QnGvU
Anima,183,O que queres com isso?,Pe. Antônio Maria,,https://youtu.be/NR6jwtnWvzE
Anima,184,Os benefícios do Ano Jubilar para Sua Vida,Frei Juan Manuel,,https://youtu.be/CP2pa0EcHao
Anima,185,Do crime para a cruz,Wellington Perciliano,,https://youtu.be/WjN636Ih0VU
Anima,186,O que acontece em um EXORCISMO?,Frei Juan Antônio,,https://youtu.be/b6esSkOW0us
Anima,187,O Segredo para um Casamento Feliz e Duradouro,Carol Tizziani,,https://youtu.be/nUVDZD9rNiA
Anima,188,"Melhores momentos: Samia Masili, Ítalo Masili e João Menna",,,https://youtu.be/C01kyuMPoxw
Anima,189,TOC Religioso e Escrúpulos – Como se libertar,Diego Costa,,https://youtu.be/M21Sf56eikk
Anima,190,Fátima: Polêmicas e curiosidades reveladas,Padre Cabecinhas e Marco Daniel Duarte,,https://youtu.be/pIHcdS-Ozw4
Anima,191,Série “Adolescência” - Sinais de alerta para os pais,Dra. Elizabete Possidente,,https://youtu.be/_M4ZRsZZc4s
