Programa;Episódio;Título;Convidado;YouTube;Canva (edição);Página Canva;Drive (ver);Drive (download);Download direto (PNG);Arquivo
Anima Podcast;#176;Como saber os temperamentos pode te ajudar;Ronaldo Amorim;https://youtu.be/zZCATTT1_FQ;https://www.canva.com/design/DAHT5YkS6QU/edit?page=11;11;https://drive.google.com/file/d/1v4fcZPor5GNYX4IMmtyVY5FnF51LhOdk/view;https://drive.google.com/uc?export=download&id=1v4fcZPor5GNYX4IMmtyVY5FnF51LhOdk;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23176%20-%20Ronaldo%20Amorim.png;#176 - Ronaldo Amorim.png
Anima Podcast;#177;A fé é uma virtude da inteligência;Roberto Mallet;https://youtu.be/siu-WZJP3bo;https://www.canva.com/design/DAHT5YkS6QU/edit?page=8;8;https://drive.google.com/file/d/1F92t0CUPk5xNaGky_te97LavzNBOz-Is/view;https://drive.google.com/uc?export=download&id=1F92t0CUPk5xNaGky_te97LavzNBOz-Is;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23177%20-%20Roberto%20Mallet.png;#177 - Roberto Mallet.png
Anima Podcast;#178;Santa Edith Stein;Magna Rocha;https://youtu.be/bdViCk6HWXs;https://www.canva.com/design/DAHT5YkS6QU/edit?page=6;6;https://drive.google.com/file/d/1K1SEy-nGU2WeLkNBelXC9OcUMcmyfmgR/view;https://drive.google.com/uc?export=download&id=1K1SEy-nGU2WeLkNBelXC9OcUMcmyfmgR;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23178%20-%20Magna%20Rocha.png;#178 - Magna Rocha.png
Anima Podcast;#179;Contra a inveja, faça isso...;Irmã Zélia;https://youtu.be/C9-mGhGrGz4;https://www.canva.com/design/DAHT5YkS6QU/edit?page=4;4;https://drive.google.com/file/d/1r3uByobOyL8eV7yf-1jA_2tc5UF-5mgp/view;https://drive.google.com/uc?export=download&id=1r3uByobOyL8eV7yf-1jA_2tc5UF-5mgp;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23179%20-%20Irm%C3%A3%20Z%C3%A9lia.png;#179 - Irmã Zélia.png
Anima Podcast;#180;Eu era espírita, mas isso me mudou;Rodrigo Astolfi;https://youtu.be/uSYcqIXdxrA;https://www.canva.com/design/DAHT5G-VT0s/edit?page=9;9;https://drive.google.com/file/d/1AvfyeN9JcnwHY8ZeP9Fpg2oQPHKEHf-x/view;https://drive.google.com/uc?export=download&id=1AvfyeN9JcnwHY8ZeP9Fpg2oQPHKEHf-x;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23180%20-%20Rodrigo%20Astolfi.png;#180 - Rodrigo Astolfi.png
Anima Podcast;#181;Melhores momentos: Anjos;Rafael Brito;https://youtu.be/2HnGh6PAVy0;https://www.canva.com/design/DAHT5IrBs84/edit?page=1;1;https://drive.google.com/file/d/1NHpkhXqxVn0jTwE7aP3g1B_cOs6hX4Pv/view;https://drive.google.com/uc?export=download&id=1NHpkhXqxVn0jTwE7aP3g1B_cOs6hX4Pv;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23181%20-%20Rafael%20Brito.png;#181 - Rafael Brito.png
Anima Podcast;#183;O que queres com isso?;Pe. Antônio Maria;https://youtu.be/NR6jwtnWvzE;https://www.canva.com/design/DAHT5YkS6QU/edit?page=2;2;https://drive.google.com/file/d/1bw_x5J47VQbEqYnWRgZiFzymBzs9WL7k/view;https://drive.google.com/uc?export=download&id=1bw_x5J47VQbEqYnWRgZiFzymBzs9WL7k;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23183%20-%20Pe.%20Ant%C3%B4nio%20Maria.png;#183 - Pe. Antônio Maria.png
Anima Podcast;#184;Ano jubilar e porta santa;Frei Juan Manuel;https://youtu.be/CP2pa0EcHao;https://www.canva.com/design/DAHT5VDGu2o/edit?page=11;11;https://drive.google.com/file/d/1IIj1ozJL2Ow7Su5mOSoE0GI7cIcf7N-S/view;https://drive.google.com/uc?export=download&id=1IIj1ozJL2Ow7Su5mOSoE0GI7cIcf7N-S;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23184%20-%20Frei%20Juan%20Manuel.png;#184 - Frei Juan Manuel.png
Anima Podcast;#185;Do crime para a cruz;Wellington Perciliano;https://youtu.be/WjN636Ih0VU;https://www.canva.com/design/DAHT5VDGu2o/edit?page=10;10;https://drive.google.com/file/d/1LdLKAye4X5S72C9qdw1_GLSX4RtH9RZy/view;https://drive.google.com/uc?export=download&id=1LdLKAye4X5S72C9qdw1_GLSX4RtH9RZy;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23185%20-%20Wellington%20Perciliano.png;#185 - Wellington Perciliano.png
Anima Podcast;#186;Possessão demoníaca: relatos reais;Frei Juan Antônio;https://youtu.be/b6esSkOW0us;https://www.canva.com/design/DAHT5VDGu2o/edit?page=9;9;https://drive.google.com/file/d/1pLy7j_SefH49WSdTC5sZPx1T6BSLfOjB/view;https://drive.google.com/uc?export=download&id=1pLy7j_SefH49WSdTC5sZPx1T6BSLfOjB;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23186%20-%20Frei%20Juan%20Ant%C3%B4nio.png;#186 - Frei Juan Antônio.png
Anima Podcast;#187;É por isso que muitos casamentos acabam...;Carol Tizziani;https://youtu.be/nUVDZD9rNiA;https://www.canva.com/design/DAHT5VDGu2o/edit?page=8;8;https://drive.google.com/file/d/1SZPrkYJ2gVqrQmzkVVzpav7YDU8zmdtw/view;https://drive.google.com/uc?export=download&id=1SZPrkYJ2gVqrQmzkVVzpav7YDU8zmdtw;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23187%20-%20Carol%20Tizziani.png;#187 - Carol Tizziani.png
Anima Podcast;#189;Fé vs. obsessão;Diego Costa;https://youtu.be/M21Sf56eikk;https://www.canva.com/design/DAHT5VDGu2o/edit?page=7;7;https://drive.google.com/file/d/1zv8MUmVth9A51mB3iZZoyqtm7UoEcYaE/view;https://drive.google.com/uc?export=download&id=1zv8MUmVth9A51mB3iZZoyqtm7UoEcYaE;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23189%20-%20Diego%20Costa.png;#189 - Diego Costa.png
Anima Podcast;#190;Fátima: polêmicas e curiosidades;Pe. Cabecinhas e Marco Daniel;https://youtu.be/pIHcdS-Ozw4;https://www.canva.com/design/DAHT5IC7CDA/edit?page=25;25;https://drive.google.com/file/d/1quKEwTOLNih5icP1uOAVD-wO4_XVFnFj/view;https://drive.google.com/uc?export=download&id=1quKEwTOLNih5icP1uOAVD-wO4_XVFnFj;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23190%20-%20Pe.%20Cabecinhas%20e%20Marco%20Daniel.png;#190 - Pe. Cabecinhas e Marco Daniel.png
Anima Podcast;#191;O que seus filhos escondem?;Elizabete Possidente;https://youtu.be/_M4ZRsZZc4s;https://www.canva.com/design/DAHT5G-VT0s/edit?page=8;8;https://drive.google.com/file/d/1LuAWIzoSsnDsQT3L6Wa1k_47K5CgZ7_j/view;https://drive.google.com/uc?export=download&id=1LuAWIzoSsnDsQT3L6Wa1k_47K5CgZ7_j;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23191%20-%20Elizabete%20Possidente.png;#191 - Elizabete Possidente.png
Anima Podcast;#192;Onde está isso na Bíblia?;Ariel Lazari;https://youtu.be/BGhJGzfqam4;https://www.canva.com/design/DAHT5VDGu2o/edit?page=6;6;https://drive.google.com/file/d/1m4h7VQ1t6jNRnzBfj8yL_pgROvVof4Hf/view;https://drive.google.com/uc?export=download&id=1m4h7VQ1t6jNRnzBfj8yL_pgROvVof4Hf;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23192%20-%20Ariel%20Lazari.png;#192 - Ariel Lazari.png
Anima Podcast;#193;Aparência importa?;Willian Celso;https://youtu.be/1tDkwhh_Ogw;https://www.canva.com/design/DAHT5VDGu2o/edit?page=5;5;https://drive.google.com/file/d/1ITaahZ5JD4XYtA975VlSuQ054r2QsUfk/view;https://drive.google.com/uc?export=download&id=1ITaahZ5JD4XYtA975VlSuQ054r2QsUfk;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23193%20-%20Willian%20Celso.png;#193 - Willian Celso.png
Anima Podcast;#194;Falso santo: a verdade sobre o narcisista;Elizabeth Pimentel;https://youtu.be/3PNdI4wcG-w;https://www.canva.com/design/DAHT5VDGu2o/edit?page=4;4;https://drive.google.com/file/d/1SJ8t522X5gSNDJn1Uh7jNMhy-4Zi8lMF/view;https://drive.google.com/uc?export=download&id=1SJ8t522X5gSNDJn1Uh7jNMhy-4Zi8lMF;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23194%20-%20Elizabeth%20Pimentel.png;#194 - Elizabeth Pimentel.png
Anima Podcast;#195;A filosofia proibida nas universidades;Renato Moraes;https://youtu.be/McC0-PowZz4;https://www.canva.com/design/DAHT5VDGu2o/edit?page=3;3;https://drive.google.com/file/d/1Uyt-J6Su8xmcZRgQ0fZpjAGAqu5IMKzV/view;https://drive.google.com/uc?export=download&id=1Uyt-J6Su8xmcZRgQ0fZpjAGAqu5IMKzV;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23195%20-%20Renato%20Moraes.png;#195 - Renato Moraes.png
Anima Podcast;#196;A era da IA: como não ficar para trás;Rica Barros;https://youtu.be/Ysjmhr24yeA;https://www.canva.com/design/DAHT5VDGu2o/edit?page=2;2;https://drive.google.com/file/d/1PI8iMNVz66GCHj2cr4rmNcqxQ-ZLhGRr/view;https://drive.google.com/uc?export=download&id=1PI8iMNVz66GCHj2cr4rmNcqxQ-ZLhGRr;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23196%20-%20Rica%20Barros.png;#196 - Rica Barros.png
Anima Podcast;#197;Anabolizante deixa impotente?;Diogo Wink;https://youtu.be/od8FYbS0ufI;https://www.canva.com/design/DAHT5G-VT0s/edit?page=7;7;https://drive.google.com/file/d/1LG3WE_CFbOKeAjmsz6B7xWcAYjInMNYg/view;https://drive.google.com/uc?export=download&id=1LG3WE_CFbOKeAjmsz6B7xWcAYjInMNYg;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23197%20-%20Diogo%20Wink.png;#197 - Diogo Wink.png
Anima Podcast;#198;Conclave 2025: tudo sobre a eleição do novo Papa;Monsenhor Sérgio;https://youtu.be/RrNxoPUYAXc;https://www.canva.com/design/DAHT5VDGu2o/edit?page=12;12;https://drive.google.com/file/d/1xnIPrkzXnVM1nsvZFkcu7CPiLArAOa99/view;https://drive.google.com/uc?export=download&id=1xnIPrkzXnVM1nsvZFkcu7CPiLArAOa99;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23198%20-%20Monsenhor%20S%C3%A9rgio.png;#198 - Monsenhor Sérgio.png
